names,genotype,condition,sex
visceral-adipocyte-341,KO,DSS,M
visceral-adipocyte-342,KO,DSS,F
visceral-adipocyte-343,WT,DSS,M
visceral-adipocyte-344,WT,DSS,M
visceral-adipocyte-345,WT,DSS,M
visceral-adipocyte-347,KO,DSS,M
visceral-adipocyte-348,KO,DSS,M
visceral-adipocyte-349,KO,DSS,F
visceral-adipocyte-350,WT,DSS,F
visceral-adipocyte-351,KO,DSS,F
visceral-adipocyte-352,WT,DSS,F
visceral-adipocyte-359,WT,DSS,F
visceral-adipocyte-425,WT,NI,M
visceral-adipocyte-426,WT,NI,M
visceral-adipocyte-427,KO,NI,M
visceral-adipocyte-428,KO,NI,M
visceral-adipocyte-430,KO,NI,F
visceral-adipocyte-431,KO,NI,F
visceral-adipocyte-432,WT,NI,F
visceral-adipocyte-433,WT,NI,F
visceral-adipocyte-435,WT,NI,M
visceral-adipocyte-439,KO,NI,F
visceral-adipocyte-441,WT,NI,F
visceral-adipocyte-455,KO,NI,M